adult_neuron,wormbase_raw_lineage,sulston_lineage,description,normalization_applied
ADAL,AB plapaaaapp,ABplapaaaapp,Ring interneurons,spaces_removed
ADAR,AB prapaaaapp,ABprapaaaapp,Ring interneurons,spaces_removed
ADEL,AB plapaaaapa,ABplapaaaapa,"Anterior deirid, sensory neuron, dopaminergic",spaces_removed
ADER,AB prapaaaapa,ABprapaaaapa,"Anterior deirid, sensory neuron, dopaminergic",spaces_removed
ADFL,AB alpppppaa,ABalpppppaa,"Amphid neuron, prob. chemosensory",spaces_removed
ADFR,AB praaappaa,ABpraaappaa,"Amphid neuron, prob. chemosensory",spaces_removed
ADLL,AB alppppaad,ABalppppaa,"Amphid neuron, prob. chemosensory",spaces_removed + suffix_d_stripped
ADLR,AB praaapaad,ABpraaapaa,"Amphid neuron, prob. chemosensory",spaces_removed + suffix_d_stripped
AFDL,AB alpppapav,ABalpppapa,"Amphid finger cell, neuron associated with amphid sheath",spaces_removed + suffix_v_stripped
AFDR,AB praaaapav,ABpraaaapa,"Amphid finger cell, neuron associated with amphid sheath",spaces_removed + suffix_v_stripped
AIAL,AB plppaappa,ABplppaappa,Amphid interneuron,spaces_removed
AIAR,AB prppaappa,ABprppaappa,Amphid interneuron,spaces_removed
AIBL,AB plaapappa,ABplaapappa,Amphid interneuron,spaces_removed
AIBR,AB praapappa,ABpraapappa,Amphid interneuron,spaces_removed
AIML,AB plpaapppa,ABplpaapppa,Ring interneuron,spaces_removed
AIMR,AB prpaapppa,ABprpaapppa,Ring interneuron,spaces_removed
AINL,AB alaaaalal,ABalaaaalal,Ring interneuron,spaces_removed
AINR,AB alaapaaar,ABalaapaaar,Ring interneuron,spaces_removed
AIYL,AB plpapaaap,ABplpapaaap,Amphid interneuron,spaces_removed
AIYR,AB prpapaaap,ABprpapaaap,Amphid interneuron,spaces_removed
AIZL,AB plapaaapav,ABplapaaapa,Amphid interneuron,spaces_removed + suffix_v_stripped
AIZR,AB prapaaapav,ABprapaaapa,Amphid interneuron,spaces_removed + suffix_v_stripped
ALA,AB alapppaaa,ABalapppaaa,"Neuron, sends processes laterally and along dorsal cord",spaces_removed
ALML,AB.arppaappa,ABarppaappa,"Anterior lateral microtubule cell, touch receptor",dots_removed
ALMR,AB arpppappa,ABarpppappa,"Anterior lateral microtubule cell, touch receptor",spaces_removed
ALNL,AB plapappppap,ABplapappppap,Neuron associated with ALM,spaces_removed
ALNR,AB prapappppap,ABprapappppap,Neuron associated with ALM,spaces_removed
AQR,QR.ap,QR.ap,"Neuron, basal body. not part of a sensillum, projects into ring",none
AS1,P1.apa,P1apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",dots_removed
AS10,P10.apa,P10apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",dots_removed
AS11,P11.apa,P11apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",dots_removed
AS2,P2.apa,P2apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",dots_removed
AS3,P3.apa,P3apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",dots_removed
AS4,P4.apa,P4apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",dots_removed
AS5,P5.apa,P5apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",dots_removed
AS6,P6.apa,P6apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",dots_removed
AS7,P7.apa,P7apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",dots_removed
AS8,P8.apa,P8apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",dots_removed
AS9,P9.apa,P9apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",dots_removed
ASEL,AB alppppppaa,ABalppppppaa,"Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil",spaces_removed
ASER,AB praaapppaa,ABpraaapppaa,"Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil",spaces_removed
